LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 1617, 511.0, 12620.0, 133100, -18875.0, -1.0, 150528, -6292.0, -1.0, 1617, 12865.0, 13384.0, 133100,
1, 257.0, 3243.0, 209952, 185.0, 256.0, 576, 511.0, 3433.0, 23328, -6292.0, -1.0, 25088, -6292.0, -1.0, 576, 3681.0, 3772.0, 23328,
2, 257.0, 3243.0, 209952, 185.0, 256.0, 576, 511.0, 3433.0, 23328, -6292.0, -1.0, 25088, -6292.0, -1.0, 576, 3681.0, 3772.0, 23328,
3, 257.0, 3243.0, 209952, 185.0, 256.0, 576, 511.0, 3433.0, 23328, -6292.0, -1.0, 25088, -6292.0, -1.0, 576, 3681.0, 3772.0, 23328,
4, 257.0, 3243.0, 209952, 185.0, 256.0, 576, 511.0, 3433.0, 23328, -6292.0, -1.0, 25088, -6292.0, -1.0, 576, 3681.0, 3772.0, 23328,
5, 257.0, 1086.0, 56448, 185.0, 256.0, 1152, 511.0, 1309.0, 12544, -6292.0, -1.0, 25088, -6292.0, -1.0, 1152, 1549.0, 1597.0, 12544,
6, 257.0, 1075.0, 97344, 113.0, 256.0, 1152, 511.0, 1193.0, 5408, -6292.0, -1.0, 12544, -6292.0, -1.0, 1152, 1441.0, 1462.0, 5408,
7, 257.0, 1074.0, 6728, 249.0, 256.0, 128, 511.0, 1366.0, 13456, -6292.0, -1.0, 6272, -6292.0, -1.0, 128, 1606.0, 1658.0, 13456,
8, 257.0, 1075.0, 97344, 113.0, 256.0, 2304, 511.0, 1201.0, 10816, -6292.0, -1.0, 12544, -6292.0, -1.0, 2304, 1441.0, 1483.0, 10816,
9, 257.0, 1075.0, 97344, 113.0, 256.0, 2304, 511.0, 1201.0, 10816, -6292.0, -1.0, 12544, -6292.0, -1.0, 2304, 1441.0, 1483.0, 10816,
10, 257.0, 580.0, 28224, 113.0, 256.0, 4608, 511.0, 737.0, 6272, -6292.0, -1.0, 12544, -6292.0, -1.0, 4608, 961.0, 985.0, 6272,
11, 257.0, 1341.0, 41472, 1.0, 1166.0, 4608, 511.0, 1579.0, 4608, -6292.0, -1.0, 6272, -6292.0, -1.0, 4608, 1819.0, 1836.0, 4608,
12, 257.0, 480.0, 3600, 241.0, 256.0, 512, 511.0, 766.0, 7200, -6292.0, -1.0, 3136, -6292.0, -1.0, 512, 990.0, 1018.0, 7200,
13, 257.0, 1341.0, 41472, 1.0, 1166.0, 9216, 511.0, 1595.0, 9216, -6292.0, -1.0, 6272, -6292.0, -1.0, 9216, 1819.0, 1854.0, 9216,
14, 257.0, 1341.0, 41472, 1.0, 1166.0, 9216, 511.0, 1595.0, 9216, -6292.0, -1.0, 6272, -6292.0, -1.0, 9216, 1819.0, 1854.0, 9216,
15, 257.0, 1143.0, 14112, 1.0, 1071.0, 18432, 511.0, 1437.0, 6272, -6292.0, -1.0, 6272, -6292.0, -1.0, 18432, 1629.0, 1653.0, 6272,
16, 257.0, 1926.0, 14400, 1.0, 1838.0, 18432, 511.0, 2148.0, 2400, -6292.0, -1.0, 3136, -6292.0, -1.0, 18432, 2372.0, 2381.0, 2400,
17, 257.0, 342.0, 2048, 225.0, 256.0, 2048, 511.0, 637.0, 4096, -6292.0, -1.0, 1568, -6292.0, -1.0, 2048, 829.0, 844.0, 4096,
18, 257.0, 1926.0, 14400, 1.0, 1838.0, 36864, 511.0, 2180.0, 4800, -6292.0, -1.0, 3136, -6292.0, -1.0, 36864, 2372.0, 2390.0, 4800,
19, 257.0, 1926.0, 14400, 1.0, 1838.0, 36864, 511.0, 2180.0, 4800, -6292.0, -1.0, 3136, -6292.0, -1.0, 36864, 2372.0, 2390.0, 4800,
20, 257.0, 320.0, 64, 193.0, 256.0, 4096, 511.0, 574.0, 64, -6292.0, -1.0, 64, -6292.0, -1.0, 4096, 766.0, 766.0, 64,
