Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr(Absolute), Filter Base Addr(Absolute), Ofmap Base Addr(Absolute),
Conv1,224,224,7,7,3,64,2,Conv,0,0,159936,
CB2a_1,56,56,1,1,64,64,1,Conv,159936,159936,934336,
CB2a_2,56,56,3,3,64,64,1,Conv,934336,934336,1135040,
CB2a_3,56,56,1,1,64,256,1,Conv,1135040,1135040,1321664,
CB2s,56,56,1,1,64,256,1,Conv,159936,159936,2124480,
IB2b_1,56,56,1,1,256,64,1,Conv,2124480,2124480,2927296,
IB2b_2,56,56,3,3,64,64,1,Conv,2927296,2927296,3128000,
IB2b_3,56,56,1,1,64,256,1,Conv,3128000,3128000,3314624,
IB2c_1,56,56,1,1,256,64,1,Conv,3314624,3314624,4117440,
IB2c_2,56,56,3,3,64,64,1,Conv,4117440,4117440,4318144,
IB2c_3,56,56,1,1,64,256,1,Conv,4318144,4318144,4504768,
CB3a_1,56,56,1,1,256,128,2,Conv,4504768,4504768,5307584,
CB3a_2,28,28,3,3,128,128,1,Conv,5307584,5307584,5415232,

